Water Company Name,"Site Name
(EA Consents Database)","Site Name
(WaSC operational)
[optional]","EA Permit Reference
(EA Consents Database)","WaSC Supplementary Permit Ref.
[optional]",Activity Reference on Permit,Storm Discharge Asset Type,"Outlet Discharge NGR
(EA Consents Database)","WFD Waterbody ID (Cycle 2)
(discharge outlet)","WFD Waterbody Catchment Name (Cycle 2)
(discharge outlet)","Receiving Water / Environment (common name)
(EA Consents Database)",Shellfish Water (only populate for storm overflow with a Shellfish Water EDM requirement),Bathing Water (only populate for storm overflow with a Bathing Water EDM requirement),"Treatment Method
(over & above Storm Tank settlement / screening)",Initial EDM Commission Date,Total Duration (hrs) all spills prior to processing through 12-24h count method,Counted spills using 12-24h count method,Long-term average spill count,"No. full years EDM data
(years)","EDM Operation -
% of reporting period EDM operational","EDM Operation -
Reporting % -
Primary Reason <90%","EDM Operation -
Action taken / planned -
Status & timeframe","High Spill Frequency -
Operational Review -
Primary Reason","High Spill Frequency -
Action taken / planned -
Status & timeframe","High Spill Frequency -
Environmental Enhancement -
Planning Position (Hydraulic capacity)",,Grid reference,Latitude,Longitude
Northumbrian Water,20 DERWENT DALE CUTLERS RD CSO,6NW800949,234/1113,234/1113,,SO on sewer network,NZ0901752447,GB103023074790,Derwent from Burnhope Burn to River Tyne,RIVER DERWENT,,,Not Applicable,Commissioned pre-2016 - full year data expected,1.50,3,3.1,10 (installed pre-2013),99.83%,,,,,,,NZ0901752447,54.866721,-1.861037
Northumbrian Water,20 PEARSON STREET CSO SE 009,6NW801224,243/1000,243/1000,,SO on sewer network,NZ2837033580,GB103024077410,Croxdale Beck from Source to Wear,"EAST HOWLE BECK, TRIBUTARY OF",,,Not Applicable,Commissioned pre-2016 - full year data expected,2.00,5,1.5,10 (installed pre-2013),99.96%,,,,,,,NZ2837033580,54.69646,-1.561349
Northumbrian Water,20 WANSBECK STREET NORTH SEATON,6NW801353,225/1063,225/1063,,SO on sewer network,NZ2944085393,GB510302210100,WANSBECK,WANSBECK ESTUARY,,,Not Applicable,Commissioned pre-2016 - full year data expected,1.00,1,0.4,10 (installed pre-2013),99.99%,,,,,,,NZ2944085393,55.161989,-1.539462
Northumbrian Water,223 GENEVA ROAD CSO,6NW801356(1),#TBC,Permit Anomaly,To be permitted for storm,SO on sewer network,NZ3069012933,GB103025072160,Neasham Stell Catchment (trib of Tees),Cree Beck into Kent Beck,,,Not Applicable,Commissioned pre-2016 - full year data expected,6.50,5,2.1,9 (installed 2013),90.02%,,,,,,,NZ3069012933,54.510781,-1.527507
Northumbrian Water,29 FIRST ROW,6NW800329,224/0969,224/0969,,SO on sewer network,NZ2646891153,GB103022076820,Lyne from Source to Tidal Limit,POTLAND BURN (TRIB OF R.LYNE),,,Not Applicable,Commissioned in 2017 - full year data expected,3.00,4,6.4,5 (installed 2017),99.97%,,,,,,,NZ2646891153,55.213913,-1.585572
Northumbrian Water,29/30 NORTH ROAD CSO,6NW801452,#TBC,Permit Anomaly,To be permitted for storm,SO on sewer network,NZ3543562357,GB103023075690,Don from Source to Tidal Limit,River Don,,,Not Applicable,Commissioned pre-2016 - full year data expected,1.50,4,2.7,10 (installed pre-2013),99.71%,,,,,,,NZ3543562357,54.954604,-1.448225
Northumbrian Water,33 DOCK ROAD CSO,6NW800830,210/1345,210/1345,,SO on sewer network,NT9973552213,GB510202110000,TWEED,RIVER TWEED (SALINE ESTUARY),,Spittal,Not Applicable,Commissioned pre-2016 - full year data expected,53.27,38,35.6,10 (installed pre-2013),100%,,,,,,,NT9973552213,55.763267,-2.005791
Northumbrian Water,4 AYCLIFFE AVENUE CSO,6NW801313,235/1955,235/1955,,SO on sewer network,NZ3060059900,GB103023075690,Don from Source to Tidal Limit,DON,,,Not Applicable,Commissioned pre-2016 - full year data expected,47.00,22,22.5,10 (installed pre-2013),90.26%,,,,,,,NZ3060059900,54.932845,-1.523979
Northumbrian Water,"5 SOUTH STREET CSO, CROOKHALL",6NW800963,244/0919,244/0919,,SO on sewer network,NZ1214050620,GB103024077330,"Smallhope Burn from Source to Browney, Stocke",STOCKERLEY BURN TRIBUTARY,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.50,1,2.5,10 (installed pre-2013),99.33%,,,,,,,NZ1214050620,54.850238,-1.812455
Northumbrian Water,50 Oxclose Crescent Spennymoor,6NW800055,#TBC,Permit Anomaly,,SO on sewer network,NZ2558834626,GB103024077350,Valley Burn from Source to Wear,Valley Burn,,,Not Applicable,Nov 2022,2.25,4,4.0,<1 yr (installed 2022),96.11%,,,,,,,NZ2558834626,54.706008,-1.60442
Northumbrian Water,50 WOODSIDE GARDENS CSO,6NW801112,245/1309,245/1309,,SO on sewer network,NZ2095551570,GB103024077590,Twizell Burn from Source to Cong Burn,STANLEY BURN TRIB,,,Not Applicable,Commissioned pre-2016 - full year data expected,48.00,17,14.7,10 (installed pre-2013),99.99%,,,,,,,NZ2095551570,54.858486,-1.675101
Northumbrian Water,66 ROSS LEA CSO,6NW801411,245/1370,245/1370,,SO on sewer network,NZ3235051888,GB103024077630,Herrington Burn from Source to Lumley Park Burn,HERRINGTON BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,45.75,27,31.2,10 (installed pre-2013),99.71%,,,,,,,NZ3235051888,54.860739,-1.497566
Northumbrian Water,85 SNOWS GREEN ROAD CAULDWELL CSO,6NW800951,234/1087,234/1087,,SO on sewer network,NZ0968053110,GB103023074790,Derwent from Burnhope Burn to River Tyne,SNOWS GREEN BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.25,1,4.8,10 (installed pre-2013),99.99%,,,,,,,NZ0968053110,54.872667,-1.850685
Northumbrian Water,A CSO AT SMITHS DOCK ROAD,6NW800669,QC.25/04/1590,QC.25/04/1590,S1,Storm discharge at pumping station,NZ5290022000,GB510302509900,TEES,THE RIVER TEES,,,Not Applicable,Commissioned in 2020 - full year data expected,0.00,0,0.0,3 (installed 2019),100%,,,,,,,NZ5290022000,54.590431,-1.182879
Northumbrian Water,A1068 ROAD BRIDGE CSO,6NW800868,223/0871,223/0871,,SO on sewer network,NU2483206265,GB510302203000,COQUET,COQUET ESTUARY,,Warkworth & Amble Links,Not Applicable,Commissioned pre-2016 - full year data expected,9.08,23,9.4,10 (installed pre-2013),84.08%,Comms failure / issue,Resolved - Apr,,,,,NU2483206265,55.349787,-1.609954
Northumbrian Water,A66 RIDER SEWER CSO,6NW801559,254/0937,254/0937,,SO on sewer network,NZ4678718620,GB510302509900,Tees,OLD RIVER TEES,,,Not Applicable,Commissioned pre-2016 - full year data expected,3.50,8,7.2,9 (installed 2013),99.99%,,,,,,,NZ4678718620,54.560659,-1.278006
Northumbrian Water,"A690 SLIP ROAD CSO,  SU27",6NW801427,245/1357,245/1357,,SO on sewer network,NZ3345049090,GB103024077580,Lumley Park Burn from Source to Herrington Burn,RAINTON BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,5.75,9,18.5,10 (installed pre-2013),99.99%,,,,,,,NZ3345049090,54.835524,-1.480754
