Water Company Name,"Site Name
(EA Consents Database)","Site Name
(WaSC operational)
[optional]","EA Permit Reference
(EA Consents Database)","WaSC Supplementary Permit Ref.
[optional]",Activity Reference on Permit,Storm Discharge Asset Type,"Outlet Discharge NGR
(EA Consents Database)","WFD Waterbody ID (Cycle 2)
(discharge outlet)","WFD Waterbody Catchment Name (Cycle 2)
(discharge outlet)","Receiving Water / Environment (common name)
(EA Consents Database)",Shellfish Water (only populate for storm overflow with a Shellfish Water EDM requirement),Bathing Water (only populate for storm overflow with a Bathing Water EDM requirement),"Treatment Method
(over & above Storm Tank settlement / screening)",Initial EDM Commission Date,Total Duration (hrs) all spills prior to processing through 12-24h count method,Counted spills using 12-24h count method,Long-term average spill count,"No. full years EDM data
(years)","EDM Operation -
% of reporting period EDM operational","EDM Operation -
Reporting % -
Primary Reason <90%","EDM Operation -
Action taken / planned -
Status & timeframe","High Spill Frequency -
Operational Review -
Primary Reason","High Spill Frequency -
Action taken / planned -
Status & timeframe","High Spill Frequency -
Environmental Enhancement -
Planning Position (Hydraulic capacity)",Unique ID,Grid reference,Latitude,Longitude
Northumbrian Water,KIMBERLEY GARDENS CSO (DER 82),KIMBERLEY GARDENS CSO (DER 82),245/1308,6NW000001,,SO on sewer network,NZ2123051430,GB103024077590,Twizell Burn from Source to Cong Burn,TWIZELL BURN TRIBUTARY,,,Not Applicable,Commissioned pre-2016 - full year data expected,246.00,36,33.53,10+ (installed pre-2013),96.30,,,Data collection - Confirmed exceptional weather – Remaining spills not above SOAF threshold,,"Stage 1a: Confirmed ""exceptional weather"" issue",6NW000001,NZ2123051430,54.857216,-1.6708272
Northumbrian Water,FRONT STREET CSO,North of Front Street combined,245/1331,6NW000002,,SO on sewer network,NZ2141051180,GB103024077590,Twizell Burn from Source to Cong Burn,STANLEY BURN TRIBUTARY,,,Not Applicable,Commissioned pre-2016 - full year data expected,13.00,17,12.54,10+ (installed pre-2013),95.26,,,,,,6NW000002,NZ2141051180,54.854962,-1.6680419
Northumbrian Water,DENE GROVE CSO,DENE GROVE CSO,253/1921,6NW000003,,SO on sewer network,NZ2766015342,GB103025072596,Skerne from Demons Beck to Tees,COCKER BECK,,,Not Applicable,Commissioned pre-2016 - full year data expected,4.75,5,3.62,10+ (installed pre-2013),99.99,,,,,,6NW000003,NZ2766015342,54.532604,-1.5740781
Northumbrian Water,WEST PARK ESTATE CSO,WEST PARK ESTATE CSO,245/1301,6NW000004,,SO on sewer network,NZ3558853076,GB103024077630,Herrington Burn from Source to Lumley Park Burn,HERRINGTON BURN VIA A CULVERT,,,Not Applicable,Commissioned pre-2016 - full year data expected,4.75,10,5.60,10+ (installed pre-2013),99.90,,,,,,6NW000004,NZ3558853076,54.871195,-1.4469799
Northumbrian Water,BLACKETT STREET,BLACKETT STREET,235/1181,6NW000005,,SO on sewer network,NZ3172065830,GB510302310200,TYNE,TYNE ESTUARY,,,Not Applicable,Commissioned pre-2016 - full year data expected,105.25,41,31.54,10+ (installed pre-2013),99.99,,,,,,6NW000005,NZ3172065830,54.986061,-1.505848
Northumbrian Water,CLAVERING RD & RUSKIN RD,CLAVERING RD & RUSKIN RD,234/1144,6NW000006,,SO on sewer network,NZ2006062130,8,River Derwent,DERWENT MILL RACE,,,Not Applicable,Commissioned pre-2016 - full year data expected,4.50,12,9.64,10+ (installed pre-2013),99.37,,,,,,6NW000006,NZ2006062130,54.953416,-1.6883108
Northumbrian Water,LEVEN ROAD CSO,LEVEN ROAD CSO,254/1895,6NW000007,,SO on sewer network,NZ5141020030,10,Ormesby Beck to River Tees,ORMESBY BECK,,,Not Applicable,Commissioned pre-2016 - full year data expected,82.00,24,23.34,10 (installed 2013),99.96,,,,,,6NW000007,NZ5141020030,54.572882,-1.2062784
Northumbrian Water,MORPETH CSO D,MORPETH CSO D,225/1075,6NW000008,,SO on sewer network,NZ2016085840,GB103022077061,Wansbeck from Font to Bothal Burn,WANSBECK,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.25,1,1.54,10 (installed 2013),99.91,,,,,,6NW000008,NZ2016085840,55.166468,-1.6850827
Northumbrian Water,BURWELL AVENUE CSO,BURWELL AVENUE CSO,235/1877,6NW000009,,SO on sewer network,NZ1965063980,GB510302310200,TYNE,RIVER TYNE SALINE ESTUARY,,,Not Applicable,Commissioned pre-2016 - full year data expected,223.25,68,47.83,10+ (installed pre-2013),99.72,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,"Stage 1c: Confirmed ""hydraulic issue""",6NW000009,NZ1965063980,54.970057,-1.6945865
Northumbrian Water,WHELDON TERRACE CSO,WHELDON TERRACE CSO,EPRAB3894VG,6NW000010,,SO on sewer network,NZ2536252629,GB103024077600,Cong Burn from Twizell Burn to Wear,TRIBUTARY OF THE CHESTER BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.00,0,0.17,10+ (installed pre-2013),99.99,,,,,,6NW000010,NZ2536252629,54.867799,-1.6063598
